id,EAP,HPL,MWS
id02310,0.09259012,0.013517733,0.8938921
id24541,0.99851173,0.001098379,0.00038992183
id00134,0.062112335,0.9359837,0.0019039232
id27757,0.61689204,0.37837404,0.004733914
id04081,0.9649357,0.01441028,0.02065404
id27337,0.8831123,0.10480672,0.01208094
id24265,0.73107576,0.21016759,0.058756642
id25917,0.017258959,0.08719949,0.8955415
id04951,0.99262506,0.006432069,0.00094280794
id14549,0.79313236,0.09483041,0.11203721
id22505,0.09523995,0.02970925,0.8750508
id24002,0.00035926295,0.99958295,5.7768e-05
id18982,0.1640159,0.7385008,0.09748331
id15181,0.0019699188,0.9975464,0.00048372682
id21888,0.65620464,0.1471635,0.19663188
id12035,0.0029874274,0.0006281957,0.9963844
id17991,0.24890612,0.017768241,0.73332566
id10707,0.9996753,0.00023235276,9.239622e-05
id07101,0.2761854,0.20834284,0.5154718
id00345,0.024336714,0.963269,0.012394313
id05912,0.9399765,0.043070767,0.016952703
id13443,0.94627994,0.016611334,0.03710871
id09248,0.34903872,0.10553613,0.5454252
id17542,0.044557996,0.9487336,0.0067083337
id06995,0.021127654,0.00017514595,0.9786971
id25159,0.7301347,0.02524603,0.24461922
id25729,0.31574813,0.58993304,0.094318785
id26949,0.9186888,0.069960214,0.011350947
id27191,0.6426366,0.039296456,0.31806695
id07668,0.2596673,0.0011491944,0.73918355
id02230,0.29866463,0.1711165,0.5302189
id15553,0.99840885,0.0004261301,0.001165006
id25688,0.0009563102,0.998632,0.00041169653
id17545,0.9822233,0.007265108,0.01051169
id13929,0.45951954,0.42670184,0.11377869
id12880,0.10204552,0.80542594,0.09252857
id19282,0.67333925,0.07363116,0.25302956
id14690,0.060253505,0.0070202784,0.93272626
id17975,0.0015242104,0.9951782,0.0032975941
id08037,0.8120529,0.0037314177,0.1842157
id15412,0.24647333,0.022808705,0.73071796
id25032,0.51781017,0.05030082,0.431889
id27165,0.9983917,0.0012280297,0.0003802699
id03327,0.8303341,0.122598685,0.047067184
id18515,0.97539437,0.0037956003,0.020810088
id21003,0.09915927,0.033349026,0.86749166
id23855,0.016995318,0.87212133,0.11088334
id20724,0.80521876,0.09055586,0.10422539
id13303,0.46196195,0.14888513,0.38915294
id16521,0.013414011,0.17980218,0.8067838
id20775,0.99921155,0.00017230728,0.00061615696
id13029,0.9989176,0.00062768394,0.0004547951
id14660,0.59658575,0.37200746,0.031406783
id11028,0.009329238,0.001528954,0.9891418
id14180,0.9314859,0.06087774,0.0076363627
id25860,0.9993155,0.0003082526,0.0003762936
id11910,0.5203811,0.02591454,0.45370433
id08065,0.3385981,0.09914615,0.56225574
id22674,0.048307147,0.0015813196,0.95011157
id25018,0.18046245,0.033351332,0.78618616
id10892,0.0010627767,0.9987116,0.00022562443
id10217,0.019478695,0.9800488,0.00047254452
id12996,0.31647718,0.28603208,0.39749074
id18262,0.5299356,0.24993806,0.22012639
id08606,0.000600349,0.9992086,0.0001910067
id17233,0.8683035,0.035905626,0.09579083
id00101,0.60066295,0.16815941,0.23117766
id12225,0.9072089,0.06347261,0.029318502
id01364,0.0041971765,0.993008,0.0027948106
id24973,0.70032746,0.038842134,0.26083037
id25363,0.85993576,0.002134155,0.13793011
id10061,0.5855584,0.042185422,0.37225613
id17673,0.05941766,0.92087424,0.019708136
id13249,0.6430664,0.039420515,0.31751305
id10107,0.0041539688,0.0010883269,0.9947577
id04403,0.9144017,0.0012728882,0.08432544
id25728,0.8720536,0.0182463,0.109700106
id16184,0.44990334,0.0373917,0.51270497
id03438,0.0015642394,0.00028594048,0.9981499
id22923,0.0600711,0.9376864,0.0022425693
id08610,0.98659766,0.0012557633,0.012146606
id25355,0.10334746,0.013670712,0.88298184
id16916,0.36722195,0.6050117,0.027766317
id12793,0.12999633,0.8553358,0.014667852
id11859,0.44501343,0.08852496,0.46646163
id02434,0.9983979,0.0011896697,0.00041241312
id27703,0.009061845,0.0019621123,0.9889761
id25212,0.046629146,0.9510307,0.0023401421
id11308,0.17694302,0.12479079,0.69826615
id26094,0.742525,0.19556227,0.061912708
id22080,0.8620263,0.12686795,0.011105787
id03545,0.9898863,0.009024047,0.0010897141
id23725,0.011297528,0.007964655,0.98073786
id12009,0.63849056,0.2740753,0.08743419
id24241,0.46324894,0.063045956,0.4737051
id03596,0.013517058,0.9854026,0.001080409
id10749,0.030572414,0.9607291,0.0086985305
id22794,0.009096787,0.00228398,0.9886192
id15482,0.25833425,0.60630476,0.13536103
id04833,0.74244165,0.23087163,0.026686713
id00397,0.0036998312,0.00013745562,0.9961628
id14691,0.0047670472,0.0046317014,0.9906013
id05193,0.12634999,0.007977237,0.86567277
id19541,0.98186535,0.0031630576,0.014971529
id22166,0.0008706847,0.00022584951,0.9989035
id20744,0.0071113775,0.0013149307,0.99157363
id10392,0.003943526,0.00038745493,0.995669
id00770,0.8304749,0.15338852,0.016136585
id06018,0.5801885,0.37930363,0.040507857
id15678,0.11546769,0.006338538,0.8781938
id08305,0.96387434,0.029320825,0.0068048863
id08903,0.51393676,0.1200374,0.36602587
id14752,0.089760534,0.90683615,0.0034033104
id12468,0.0033253585,0.99626416,0.0004104889
id05085,0.14568223,0.8192034,0.035114456
id21993,0.08634104,0.0021662032,0.9114927
id15503,0.95829874,0.03598135,0.005719955
id03021,0.0011421812,0.99870443,0.00015334575
id16123,0.9941858,0.0053055636,0.0005085764
id19383,0.97109467,0.026449969,0.0024553959
id04186,0.99891174,0.00066242536,0.00042585834
id17954,0.0043425024,0.00052753283,0.99512994
id12030,0.4831737,0.014520403,0.50230587
id13020,0.6797657,0.31484064,0.00539366
id25327,0.0117589515,0.30306366,0.68517745
id16344,0.20628859,0.05276394,0.7409475
id12303,0.2275702,0.61607784,0.15635195
id15017,0.931598,0.067272216,0.0011297179
id22308,0.4877497,0.10608878,0.40616158
id06536,0.0023245814,0.00053479825,0.99714065
id19797,0.047231194,0.9314054,0.021363422
id06332,0.4805831,0.3712205,0.14819641
id22941,0.36062115,0.10477661,0.5346022
id13547,0.022688337,0.016792405,0.9605193
id06928,0.0016976597,0.00032194928,0.9979804
id12521,0.334208,0.64096403,0.024827924
